yuk_no	yuk_adi	uzunluk_mm	genislik_mm	yukseklik_mm	agirlik_kg	istiflenebilir
IZM065	Skid	450	260	260	1360.92	
IZM022	Skid	420	250	260	1436.65	
IZM020	Skid	400	250	260	1357.56	
IZM025	unpacked	380	250	250	1350.76	
IZM021	Skid	350	250	260	976.58	
GIM108	on wood	490	260	55	1685	
GIM004	on wood	810	410	410	4900	
GIM005	on wood	810	410	410	4900	
GIM029	on wood	770	385	290	9000	
GIM030	on wood	770	385	290	9000	
GIM031	on wood	770	385	290	9000	
GIM032	on wood	770	385	290	9000	
GIM018	on wood	600	300	250	25400	
GIM019	on wood	600	300	250	25400	
GIM020	on wood	600	300	250	25400	
GIM021	on wood	600	300	250	25400	
GIM141	on wood	900	270	65	4512	
GIM102	on wood	365	255	95	1187	
GIM148	on wood	900	270	90	4325	
GIM103	on wood	365	255	95	1187	
GIM139	on wood	900	270	65	3911	
GIM113	on wood	390	260	160	2512	
GIM145	on wood	900	270	70	3295	
CBV014	unpacked	370	300	75	1300	
GIM146	on wood	900	270	65	3270	
CBV016	unpacked	340	300	265	2100	
GIM144	on wood	900	270	100	2120	
CBV021	unpacked	310	280	120	1200	
GIM087	on wood	900	250	65	4512	
CBV015	unpacked	300	300	270	1900	
IZM031	Skid	1175	335	325	7349.22	
IZM016	unpacked	490	330	205	1448.05	
IZM017	unpacked	400	330	145	1260	
IZM018	unpacked	400	330	145	1260	
IZM028	Skid	400	305	305	1455.6	
IZM069	Bundle	450	300	170	6287.57	
IZM029	unpacked	330	300	320	2918.32	
GIM140	on wood	900	270	75	5640	
GIM117	on wood	335	256	40	829	
GIM025	on wood	360	280	190	6200	
GIM026	on wood	360	280	190	6200	
GIM121	on wood	495	275	55	1682	
IZM030	Skid	1150	310	310	6823.4	
GIM183	on wood	535	636	30	739	
GIM003	on wood	600	490	400	6800	
GIM013	Crate	470	470	330	9000	
GIM027	on wood	460	435	120	16000	
GIM001	on wood	790	430	395	19000	
GIM002	on wood	790	430	395	19000	
GIM006	on wood	580	420	280	2550	
GIM007	on wood	580	420	280	2550	
GIM198	on wood	462	420	45	1180	
GIM215	on wood	330	330	50	2360	
GIM119	on wood	230	330	45	431	
GIM118	on wood	230	330	45	199	
GIM011	on wood	590	300	100	4677	
GIM219	on wood	650	290	140	8100	
GIM092	on wood	490	285	55	1226	
GIM022	Case	600	250	200	7500	
CBV024	unpacked	310	280	120	1200	
CBV022	unpacked	280	280	120	1100	
CBV023	unpacked	280	280	120	1100	
CBV011	unpacked	300	260	140	1800	
CBV013	unpacked	300	260	190	1500	
IZM047	unpacked	760	550	110	4681.2	
IZM040	unpacked	700	550	240	5440	
IZM041	unpacked	700	550	240	5440	
IZM063	unpacked	520	500	240	8208.5	
IZM064	unpacked	520	500	240	8208.5	
IZM014	Bundle	780	450	150	10510.1	
IZM045	unpacked	730	450	285	2825.45	
IZM037	unpacked	550	440	350	4223	
IZM042	unpacked	430	430	130	3099.05	
IZM038	unpacked	550	425	430	9913.6	
IZM044	unpacked	930	420	390	10826.3	
IZM053	Skid	630	420	420	5571.3	
IZM039	Skid	500	420	420	807	
IZM036	unpacked	430	420	315	3661.8	
IZM055	unpacked	410	410	415	4218.43	
IZM061	unpacked	650	400	220	4488.8	
IZM062	unpacked	650	400	220	4488.8	
IZM057	unpacked	600	400	250	3891.55	
IZM058	unpacked	600	400	250	3891.55	
IZM048	unpacked	400	400	320	2981.1	
IZM049	unpacked	400	400	370	2884.4	
IZM043	unpacked	630	390	290	3153.4	
IZM008	Skid	510	390	390	9383.2	
IZM059	unpacked	510	375	315	3735.6	
IZM060	unpacked	510	375	315	3735.6	
IZM035	Bundle	340	340	100	2904.32	
IZM032	Bundle	480	370	240	2991.01	
IZM067	Bundle	450	370	140	2885.51	
IZM019	unpacked	420	350	140	1595.13	
IZM010	Skid	510	340	340	6232.6	
IZM012	Bundle	330	330	150	3275.2	
IZM026	Bundle	400	340	100	3475.62	
IZM015	Skid	350	325	325	1764.99	
IZM051	unpacked	390	320	320	1641	
IZM052	Skid	350	320	320	1938.5	
IZM033	unpacked	320	320	250	1113.59	
IZM027	Skid	1075	305	305	6476.1	
IZM034	unpacked	300	300	130	567.23	
IZM050	unpacked	290	290	240	959.7	
IZM056	Skid	480	280	240	1283.19	
IZM054	Skid	460	280	240	1269.88	
IZM068	Bundle	600	260	170	5525.77	
GIM093	on wood	510	280	55	1685	
GIM023	on wood	360	280	190	6200	
GIM024	on wood	360	280	190	6200	
